unknown,name,joined,lat,lng
Unknown,Alaska,"Unknown, Alaska",63.588753,-154.493062
Unknown,Alabama,"Unknown, Alabama",32.318231,-86.902298
Unknown,Arkansas,"Unknown, Arkansas",35.20105,-91.831833
Unknown,Arizona,"Unknown, Arizona",34.048928,-111.093731
Unknown,California,"Unknown, California",36.778261,-119.417932
Unknown,Colorado,"Unknown, Colorado",39.550051,-105.782067
Unknown,Connecticut,"Unknown, Connecticut",41.603221,-73.087749
Unknown,District of Columbia,"Unknown, District of Columbia",38.905985,-77.033418
Unknown,Delaware,"Unknown, Delaware",38.910832,-75.52767
Unknown,Florida,"Unknown, Florida",27.664827,-81.515754
Unknown,Georgia,"Unknown, Georgia",32.157435,-82.907123
Unknown,Hawaii,"Unknown, Hawaii",19.898682,-155.665857
Unknown,Iowa,"Unknown, Iowa",41.878003,-93.097702
Unknown,Idaho,"Unknown, Idaho",44.068202,-114.742041
Unknown,Illinois,"Unknown, Illinois",40.633125,-89.398528
Unknown,Indiana,"Unknown, Indiana",40.551217,-85.602364
Unknown,Kansas,"Unknown, Kansas",39.011902,-98.484246
Unknown,Kentucky,"Unknown, Kentucky",37.839333,-84.270018
Unknown,Louisiana,"Unknown, Louisiana",31.244823,-92.145024
Unknown,Massachusetts,"Unknown, Massachusetts",42.407211,-71.382437
Unknown,Maryland,"Unknown, Maryland",39.045755,-76.641271
Unknown,Maine,"Unknown, Maine",45.253783,-69.445469
Unknown,Michigan,"Unknown, Michigan",44.314844,-85.602364
Unknown,Minnesota,"Unknown, Minnesota",46.729553,-94.6859
Unknown,Missouri,"Unknown, Missouri",37.964253,-91.831833
Unknown,Mississippi,"Unknown, Mississippi",32.354668,-89.398528
Unknown,Montana,"Unknown, Montana",46.879682,-110.362566
Unknown,North Carolina,"Unknown, North Carolina",35.759573,-79.0193
Unknown,North Dakota,"Unknown, North Dakota",47.551493,-101.002012
Unknown,Nebraska,"Unknown, Nebraska",41.492537,-99.901813
Unknown,New Hampshire,"Unknown, New Hampshire",43.193852,-71.572395
Unknown,New Jersey,"Unknown, New Jersey",40.058324,-74.405661
Unknown,New Mexico,"Unknown, New Mexico",34.97273,-105.032363
Unknown,Nevada,"Unknown, Nevada",38.80261,-116.419389
Unknown,New York,"Unknown, New York",43.299428,-74.217933
Unknown,Ohio,"Unknown, Ohio",40.417287,-82.907123
Unknown,Oklahoma,"Unknown, Oklahoma",35.007752,-97.092877
Unknown,Oregon,"Unknown, Oregon",43.804133,-120.554201
Unknown,Pennsylvania,"Unknown, Pennsylvania",41.203322,-77.194525
Unknown,Puerto Rico,"Unknown, Puerto Rico",18.220833,-66.590149
Unknown,Rhode Island,"Unknown, Rhode Island",41.580095,-71.477429
Unknown,South Carolina,"Unknown, South Carolina",33.836081,-81.163725
Unknown,South Dakota,"Unknown, South Dakota",43.969515,-99.901813
Unknown,Tennessee,"Unknown, Tennessee",35.517491,-86.580447
Unknown,Texas,"Unknown, Texas",31.968599,-99.901813
Unknown,Utah,"Unknown, Utah",39.32098,-111.093731
Unknown,Virginia,"Unknown, Virginia",37.431573,-78.656894
Unknown,Vermont,"Unknown, Vermont",44.558803,-72.577841
Unknown,Washington,"Unknown, Washington",47.751074,-120.740139
Unknown,Wisconsin,"Unknown, Wisconsin",43.78444,-88.787868
Unknown,West Virginia,"Unknown, West Virginia",38.597626,-80.454903
Unknown,Wyoming,"Unknown, Wyoming",43.075968,-107.290284
Unknown,Virgin Islands,"Unknown, Virgin Islands",18.335765,-64.896335
Kansas City,Missouri,"Kansas City, Missouri",39.0997265,-94.5785667
New York City,New York,"New York City, New York",40.7127753,-74.0059728
Unknown,Guam,"Unknown, Guam",13.444304,144.793731
Unknown,Northern Mariana Islands,"Unknown, Northern Mariana Islands",15.0979,145.6739
