STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,lng,lat
37,017,01026336,0500000US37017,37017,Bladen,06,2265887723,33010866,-78.5618005851556,34.63599818034746
37,167,01025844,0500000US37167,37167,Stanly,06,1023370459,25242751,-80.22825497524808,35.33850816984027
39,153,01074088,0500000US39153,39153,Summit,06,1069181981,18958267,-81.53914537169113,41.12448885270595
42,113,01213687,0500000US42113,42113,Sullivan,06,1165338428,6617028,-76.51246590834995,41.426884072508344
48,459,01384015,0500000US48459,48459,Upshur,06,1509910100,24878888,-94.94315224324873,32.727393155713415
48,049,01383810,0500000US48049,48049,Brown,06,2446120250,32375524,-98.97744472385384,31.754963397982905
45,021,01247987,0500000US45021,45021,Cherokee,06,1018732778,11714267,-81.63573988582601,35.03615010760892
01,043,00161547,0500000US01043,01043,Cullman,06,1903073019,52422496,-86.89713251308946,34.114148881535165
54,023,01697238,0500000US54023,54023,Grant,06,1236390677,7545525,-79.17711164583642,39.16023174915636
46,055,01266988,0500000US46055,46055,Haakon,06,4689282658,42449843,-101.53821973353399,44.28152834529354
55,061,01581090,0500000US55061,55061,Kewaunee,06,886951858,1921336271,-87.61840323113994,44.524276366505674
18,049,00450353,0500000US18049,18049,Fulton,06,954146352,7426335,-86.29365530621645,41.040967433404106
19,083,00465230,0500000US19083,19083,Hardin,06,1474505075,1776735,-93.2365461133696,42.38304969433571
20,133,00485030,0500000US20133,20133,Neosho,06,1480111173,16369480,-95.30682401494465,37.55826589330816
31,133,00835888,0500000US31133,31133,Pawnee,06,1116478182,4852361,-96.23705436662522,40.13139101638342
01,059,00161555,0500000US01059,01059,Franklin,06,1641841406,32643981,-87.84289504522842,34.44350622470719
29,175,00758542,0500000US29175,29175,Randolph,06,1250217892,13254191,-92.49713739897629,39.437094902590516
35,028,01702366,0500000US35028,35028,Los Alamos,06,282827023,224479,-106.32819644765026,35.8742406843393
37,105,01008567,0500000US37105,37105,Lee,06,660607408,10725289,-79.17569361668129,35.4757757420541
39,137,01074081,0500000US39137,39137,Putnam,06,1249783590,4544874,-84.13707152079945,41.03433539126959
45,039,01248000,0500000US45039,45039,Fairfield,06,1777452219,61132193,-81.11956240257629,34.38581145483131
48,021,01383796,0500000US48021,48021,Bastrop,06,2300370292,19079348,-97.30732888394347,30.0919856994119
55,113,01581116,0500000US55113,55113,Sawyer,06,3257216619,239883874,-91.16836430777592,45.89672517700299
48,233,01383902,0500000US48233,48233,Hutchinson,06,2298408152,19507502,-101.35466431772778,35.840001015528
55,031,01581075,0500000US55031,55031,Douglas,06,3378102266,454243357,-91.91595767868824,46.422345520027015
48,095,01383833,0500000US48095,48095,Concho,06,2547914009,25740025,-99.86473037865474,31.332849801693037
51,065,01494061,0500000US51065,51065,Fluvanna,06,743630414,10747025,-78.27389431579026,37.84584316788566
55,041,01581080,0500000US55041,55041,Forest,06,2626878508,83594186,-88.83902672932884,45.634647928543934
26,121,01623003,0500000US26121,26121,Muskegon,06,1305064357,2476380060,-86.19183074452377,43.29384540963045
27,005,00659448,0500000US27005,27005,Becker,06,3406054658,336952350,-95.67158144495221,46.934261493097495
40,077,01101826,0500000US40077,40077,Latimer,06,1870096895,18296988,-95.25029112728512,34.869682499346155
22,073,00558114,0500000US22073,22073,Ouachita,15,1580920629,55305574,-92.15221954469067,32.44212765257784
15,005,01702380,0500000US15005,15005,Kalawao,06,31057603,105764468,-156.96875653147097,21.192526499900758
01,023,00161537,0500000US01023,01023,Choctaw,06,2365869835,19144469,-88.28742081894518,32.019260324050165
