date,county,state,fips,cases,deaths,joined,lat,lng
2020-03-30,Autauga,Alabama,01001,7,0,"Autauga, Alabama",32.540756901620554,-86.61350343002434
2020-03-30,Baldwin,Alabama,01003,18,0,"Baldwin, Alabama",30.652444660417643,-87.71760393086441
2020-03-30,Bibb,Alabama,01007,2,0,"Bibb, Alabama",33.00503215207683,-87.09262543542731
2020-03-30,Blount,Alabama,01009,5,0,"Blount, Alabama",33.970712697379305,-86.53600321222585
2020-03-30,Bullock,Alabama,01011,3,0,"Bullock, Alabama",32.09024819134624,-85.71265534703514
2020-03-30,Butler,Alabama,01013,1,0,"Butler, Alabama",31.743581449981146,-86.69287842307803
2020-03-30,Calhoun,Alabama,01015,9,0,"Calhoun, Alabama",33.769200843427704,-85.82433396916447
2020-03-30,Chambers,Alabama,01017,36,4,"Chambers, Alabama",32.920265377943394,-85.3907275865993
2020-03-30,Cherokee,Alabama,01019,2,0,"Cherokee, Alabama",34.15577677043316,-85.62439868151206
2020-03-30,Chilton,Alabama,01021,10,0,"Chilton, Alabama",32.88819090345659,-86.69125152177288
2020-03-30,Choctaw,Alabama,01023,2,0,"Choctaw, Alabama",32.019260324050165,-88.28742081894518
2020-03-30,Clay,Alabama,01027,2,0,"Clay, Alabama",33.27240922958565,-85.82662023509808
2020-03-30,Cleburne,Alabama,01029,5,0,"Cleburne, Alabama",33.67467603782073,-85.49577410842208
2020-03-30,Colbert,Alabama,01033,4,0,"Colbert, Alabama",34.671471201061,-87.69472383545359
2020-03-30,Coosa,Alabama,01037,4,0,"Coosa, Alabama",32.92902252077374,-86.24847739161183
2020-03-30,Covington,Alabama,01039,2,0,"Covington, Alabama",31.229553442477012,-86.45391940103451
2020-03-30,Crenshaw,Alabama,01041,1,0,"Crenshaw, Alabama",31.71853027420851,-86.31254453148266
2020-03-30,Cullman,Alabama,01043,8,0,"Cullman, Alabama",34.114148881535165,-86.89713251308945
2020-03-30,Dallas,Alabama,01047,2,0,"Dallas, Alabama",32.283827065307506,-87.11275091500194
2020-03-30,DeKalb,Alabama,01049,4,0,"DeKalb, Alabama",34.429486996506746,-85.81241883470987
2020-03-30,Elmore,Alabama,01051,13,0,"Elmore, Alabama",32.58750522138977,-86.11611733621966
2020-03-30,Escambia,Alabama,01053,1,0,"Escambia, Alabama",31.12987943807651,-87.15918693673142
2020-03-30,Etowah,Alabama,01055,6,0,"Etowah, Alabama",34.041441472079484,-86.04619148962936
2020-03-30,Fayette,Alabama,01057,1,0,"Fayette, Alabama",33.73439565680255,-87.76024120424103
2020-03-30,Franklin,Alabama,01059,3,0,"Franklin, Alabama",34.44350622470719,-87.84289504522843
2020-03-30,Greene,Alabama,01063,3,0,"Greene, Alabama",32.90152229558795,-87.98086964835676
2020-03-30,Hale,Alabama,01065,1,0,"Hale, Alabama",32.78216752854065,-87.63712858873362
2020-03-30,Houston,Alabama,01069,9,0,"Houston, Alabama",31.15555957215035,-85.29939598614023
2020-03-30,Jackson,Alabama,01071,7,1,"Jackson, Alabama",34.76500045182223,-85.99011230627487
2020-03-30,Jefferson,Alabama,01073,257,0,"Jefferson, Alabama",33.54616044943017,-86.89017995698038
2020-03-30,Lamar,Alabama,01075,1,0,"Lamar, Alabama",33.77879022748575,-88.09668032151745
2020-03-30,Lauderdale,Alabama,01077,12,1,"Lauderdale, Alabama",34.875952899106174,-87.764916858073
2020-03-30,Lawrence,Alabama,01079,3,0,"Lawrence, Alabama",34.5057413296921,-87.30787309417339
